"OrderID","CustomerID","EmployeeID","ShipVia"
"10248","VINET","5","3"
"10249","TOMSP","6","1"
"10250","HANAR","4","2"
"10251","VICTE","3","1"
"10252","SUPRD","4","2"
"10253","HANAR","3","2"
"10254","CHOPS","5","2"
"10255","RICSU","9","3"
"10256","WELLI","3","2"
"10257","HILAA","4","3"
"10258","ERNSH","1","1"
"10259","CENTC","4","3"
"10260","OTTIK","4","1"
"10261","QUEDE","4","2"
"10262","RATTC","8","3"
"10263","ERNSH","9","3"
"10264","FOLKO","6","3"
"10265","BLONP","2","1"
"10266","WARTH","3","3"
"10267","FRANK","4","1"
"10268","GROSR","8","3"
"10269","WHITC","5","1"
"10270","WARTH","1","1"
"10271","SPLIR","6","2"
"10272","RATTC","6","2"
"10273","QUICK","3","3"
"10274","VINET","6","1"
"10275","MAGAA","1","1"
"10276","TORTU","8","3"
"10277","MORGK","2","3"
"10278","BERGS","8","2"
"10279","LEHMS","8","2"
"10280","BERGS","2","1"
"10281","ROMEY","4","1"
"10282","ROMEY","4","1"
"10283","LILAS","3","3"
"10284","LEHMS","4","1"
"10285","QUICK","1","2"
"10286","QUICK","8","3"
"10287","RICAR","8","3"
"10288","REGGC","4","1"
"10289","BSBEV","7","3"
"10290","COMMI","8","1"
"10291","QUEDE","6","2"
"10292","TRADH","1","2"
"10293","TORTU","1","3"
"10294","RATTC","4","2"
"10295","VINET","2","2"
"10296","LILAS","6","1"
"10297","BLONP","5","2"
"10298","HUNGO","6","2"
"10299","RICAR","4","2"
"10300","MAGAA","2","2"
"10301","WANDK","8","2"
"10302","SUPRD","4","2"
"10303","GODOS","7","2"
"10304","TORTU","1","2"
"10305","OLDWO","8","3"
"10306","ROMEY","1","3"
"10307","LONEP","2","2"
"10308","ANATR","7","3"
"10309","HUNGO","3","1"
"10310","THEBI","8","2"
"10311","DUMON","1","3"
"10312","WANDK","2","2"
"10313","QUICK","2","2"
"10314","RATTC","1","2"
"10315","ISLAT","4","2"
"10316","RATTC","1","3"
"10317","LONEP","6","1"
"10318","ISLAT","8","2"
"10319","TORTU","7","3"
"10320","WARTH","5","3"
"10321","ISLAT","3","2"
"10322","PERIC","7","3"
"10323","KOENE","4","1"
"10324","SAVEA","9","1"
"10325","KOENE","1","3"
"10326","BOLID","4","2"
"10327","FOLKO","2","1"
"10328","FURIB","4","3"
"10329","SPLIR","4","2"
"10330","LILAS","3","1"
"10331","BONAP","9","1"
"10332","MEREP","3","2"
"10333","WARTH","5","3"
"10334","VICTE","8","2"
"10335","HUNGO","7","2"
"10336","PRINI","7","2"
"10337","FRANK","4","3"
"10338","OLDWO","4","3"
"10339","MEREP","2","2"
"10340","BONAP","1","3"
"10341","SIMOB","7","3"
"10342","FRANK","4","2"
"10343","LEHMS","4","1"
"10344","WHITC","4","2"
"10345","QUICK","2","2"
"10346","RATTC","3","3"
"10347","FAMIA","4","3"
"10348","WANDK","4","2"
"10349","SPLIR","7","1"
"10350","LAMAI","6","2"
"10351","ERNSH","1","1"
"10352","FURIB","3","3"
"10353","PICCO","7","3"
"10354","PERIC","8","3"
"10355","AROUT","6","1"
"10356","WANDK","6","2"
"10357","LILAS","1","3"
"10358","LAMAI","5","1"
"10359","SEVES","5","3"
"10360","BLONP","4","3"
"10361","QUICK","1","2"
"10362","BONAP","3","1"
"10363","DRACD","4","3"
"10364","EASTC","1","1"
